date,NTU,rain
3/31/15 10:39,0.029702,
3/31/15 10:40,0.029606,
3/31/15 10:41,0.030158,
3/31/15 10:42,0.02981,
3/31/15 10:43,0.029654,
3/31/15 10:44,0.029606,
3/31/15 10:45,0.029816,
3/31/15 10:46,0.029576,
3/31/15 10:47,0.029564,
3/31/15 10:48,0.029037,
3/31/15 10:49,0.029444,
3/31/15 10:50,0.029528,
3/31/15 10:51,0.029684,
3/31/15 10:52,0.0296,
3/31/15 10:53,0.029426,
3/31/15 10:54,0.029684,
3/31/15 10:55,0.029552,
3/31/15 10:56,0.029498,
3/31/15 10:57,0.02933,
3/31/15 10:58,0.029336,
3/31/15 10:59,0.029318,
3/31/15 11:00,0.02921,0.01
3/31/15 11:01,0.029204,
3/31/15 11:02,0.029348,
3/31/15 11:03,0.0293,
3/31/15 11:04,0.02924,
3/31/15 11:05,0.029198,
3/31/15 11:06,0.0293,
3/31/15 11:07,0.02936,
3/31/15 11:08,0.02927,
3/31/15 11:09,0.029336,
3/31/15 11:10,0.029282,
3/31/15 11:11,0.029228,
3/31/15 11:12,0.02927,
3/31/15 11:13,0.029312,
3/31/15 11:14,0.029181,
3/31/15 11:15,0.029097,
3/31/15 11:16,0.029192,
3/31/15 11:17,0.029456,
3/31/15 11:18,0.029288,
3/31/15 11:19,0.029336,
3/31/15 11:20,0.029294,
3/31/15 11:21,0.029234,
3/31/15 11:22,0.029234,
3/31/15 11:23,0.029462,
3/31/15 11:24,0.030116,
3/31/15 11:25,0.029774,
3/31/15 11:26,0.02954,
3/31/15 11:27,0.029264,
3/31/15 11:28,0.02927,
3/31/15 11:29,0.029157,
3/31/15 11:30,0.029031,
3/31/15 11:31,0.029055,
3/31/15 11:32,0.02921,
3/31/15 11:33,0.029145,
3/31/15 11:34,0.02921,
3/31/15 11:35,0.029085,
3/31/15 11:36,0.029061,
3/31/15 11:37,0.028959,
3/31/15 11:38,0.029175,
3/31/15 11:39,0.029306,
3/31/15 11:40,0.029288,
3/31/15 11:41,0.02924,
3/31/15 11:42,0.029288,
3/31/15 11:43,0.029282,
3/31/15 11:44,0.029396,
3/31/15 11:45,0.029306,
3/31/15 11:46,0.029342,
3/31/15 11:47,0.029342,
3/31/15 11:48,0.029246,
3/31/15 11:49,0.029306,
3/31/15 11:50,0.029306,
3/31/15 11:51,0.029133,
3/31/15 11:52,0.029312,
3/31/15 11:53,0.029318,
3/31/15 11:54,0.0293,
3/31/15 11:55,0.029169,
3/31/15 11:56,0.029091,
3/31/15 11:57,0.029163,
3/31/15 12:21,0.031916,
3/31/15 12:22,0.348162,
3/31/15 12:23,0.118882,
3/31/15 12:24,0.071331,
3/31/15 12:25,0.058055,
3/31/15 12:26,0.051438,
3/31/15 12:27,0.043105,
3/31/15 12:28,0.038017,
3/31/15 12:29,0.037328,
3/31/15 12:30,0.036266,
3/31/15 12:31,0.033062,
3/31/15 12:32,0.032918,
3/31/15 12:33,0.03305,
3/31/15 12:34,0.033104,
3/31/15 12:35,0.033398,
3/31/15 12:36,0.03224,
3/31/15 12:37,0.032348,
3/31/15 12:38,0.032762,
3/31/15 12:39,0.031652,
3/31/15 12:40,0.031952,
3/31/15 12:41,0.032606,
3/31/15 12:42,0.032342,
3/31/15 12:43,0.03152,
3/31/15 12:44,0.03248,
3/31/15 12:45,0.031622,
3/31/15 12:46,0.032156,
3/31/15 12:47,0.03137,
3/31/15 12:48,0.030824,
3/31/15 12:49,0.03179,
3/31/15 12:50,0.031202,
3/31/15 12:51,0.0311,
3/31/15 12:52,0.030452,
3/31/15 12:53,0.031796,
3/31/15 12:54,0.031004,
3/31/15 12:55,0.030332,
3/31/15 12:56,0.030752,
3/31/15 12:57,0.030746,
3/31/15 12:58,0.03077,
3/31/15 12:59,0.030068,
3/31/15 13:00,0.03014,0.02
3/31/15 13:01,0.029828,
3/31/15 13:02,0.02975,
3/31/15 13:03,0.029828,
3/31/15 13:04,0.029666,
3/31/15 13:05,0.029954,
3/31/15 13:06,0.029726,
3/31/15 13:07,0.029768,
3/31/15 13:08,0.029816,
3/31/15 13:09,0.029864,
3/31/15 13:10,0.029582,
3/31/15 13:11,0.029786,
3/31/15 13:12,0.029738,
3/31/15 13:13,0.029564,
3/31/15 13:14,0.029594,
3/31/15 13:15,0.029864,
3/31/15 13:16,0.029606,
3/31/15 13:17,0.029606,
3/31/15 13:18,0.029666,
3/31/15 13:19,0.02957,
3/31/15 13:20,0.02972,
3/31/15 13:21,0.029666,
3/31/15 13:22,0.030044,
3/31/15 13:23,0.029906,
3/31/15 13:24,0.029924,
3/31/15 13:25,0.02981,
3/31/15 13:26,0.029822,
3/31/15 13:27,0.029756,
3/31/15 13:28,0.029888,
3/31/15 13:29,0.02978,
3/31/15 13:30,0.029858,
3/31/15 13:31,0.02987,
3/31/15 13:32,0.029864,
3/31/15 13:33,0.029864,
3/31/15 13:34,0.02981,
3/31/15 13:35,0.02984,
3/31/15 13:36,0.029738,
3/31/15 13:37,0.029708,
3/31/15 13:38,0.029786,
3/31/15 13:39,0.02981,
3/31/15 13:40,0.02969,
3/31/15 13:41,0.02981,
3/31/15 13:42,0.029738,
3/31/15 13:43,0.029786,
3/31/15 13:44,0.029936,
3/31/15 13:45,0.02975,
3/31/15 13:46,0.02966,
3/31/15 13:47,0.029792,
