,date,rain,Rol_sum_3hr,high_rain_rate_hrly,NTU,baseline_pts
0,2013-05-20 13:15:00,0.0,1.48,,,
1,2013-05-20 14:15:00,1.48,1.48,1.48,,
2,2013-05-20 15:15:00,0.0,1.48,,,
3,2013-06-05 08:15:00,0.51,1.85,0.51,,
4,2013-06-05 09:15:00,1.08,1.7100000000000002,1.08,,
5,2013-06-05 10:15:00,0.12,1.4200000000000002,,,
6,2013-06-05 12:15:00,0.48,1.9900000000000002,,,
7,2013-06-05 13:15:00,1.29,2.02,1.29,24.71531269870873,
8,2013-06-05 14:15:00,0.25,1.87,,,
9,2013-06-06 04:39:00,,,,4.932552256784881,
10,2013-06-06 03:44:00,,,,0.16123847870820987,
11,2013-06-05 21:41:00,,,,,0.8000602907950972
12,2013-06-06 03:56:00,,,,,0.7690534269353889
