,date,rain,Rol_sum_3hr,high_rain_rate_hrly,NTU,baseline_pts
0,2012-08-09 03:20:00,0.46,1.2999999999999998,,,
1,2012-08-09 04:20:00,0.47,1.3199999999999998,,,
2,2012-08-09 05:20:00,0.39,1.17,,,
3,2012-08-09 07:20:00,0.29,1.56,,,
4,2012-08-09 08:20:00,0.96,1.25,0.96,,
5,2012-09-01 03:20:00,0.26,1.78,,,
6,2012-09-01 04:20:00,1.31,1.88,1.31,,
7,2012-09-01 05:20:00,0.31,2.1500000000000004,,,
8,2012-09-01 12:20:00,0.25,1.0600000000000003,,,
9,2012-09-01 21:20:00,0.6,1.0000000000000002,0.6,,
10,2012-09-01 22:20:00,0.33,1.0600000000000003,,,
11,2012-09-02 02:20:00,0.57,1.0600000000000003,0.57,,
12,2012-09-02 03:20:00,0.34,1.0700000000000003,,,
13,2012-09-02 07:20:00,0.73,1.2900000000000003,0.73,,
14,2012-09-02 08:20:00,0.42,1.56,,,
15,2012-08-04 07:20:00,,,,0.32409435285805455,
16,2012-08-24 21:00:00,,,,0.4356377913118301,
17,2012-09-03 08:09:00,,,,2.3731224940809925,
18,2012-10-06 05:43:00,,,,1.0567160751387403,
19,2012-08-09 08:43:00,,,,0.04311142004627125,
20,2012-09-01 14:57:00,,,,0.07925772921757178,
21,2012-09-27 20:51:00,,,,0.07253445691334172,
22,2012-08-04 08:00:00,,,,,0.13757130434111142
23,2012-08-24 19:19:00,,,,,0.13369575460610833
24,2012-08-24 21:56:00,,,,,0.1383215821155858
25,2012-09-02 18:14:00,,,,,0.13987322776787475
26,2012-09-22 11:21:00,,,,,0.13985285387932317
27,2012-10-06 03:55:00,,,,,0.133950238174037
