,date,rain,Rol_sum_3hr,high_rain_rate_hrly,NTU,baseline_pts
0,2013-04-27 03:30:00,0.04,1.04,,,
1,2013-04-27 04:30:00,1.0,1.78,1.0,,
2,2013-04-27 05:30:00,0.74,1.75,0.74,,
3,2013-04-28 20:30:00,0.02,1.37,,,
4,2013-04-28 21:30:00,1.35,1.79,1.35,,
5,2013-04-28 22:30:00,0.42,1.77,,,
6,2013-04-30 15:30:00,0.83,2.57,0.83,,
7,2013-04-30 16:30:00,1.74,2.6199999999999997,1.74,,
8,2013-04-30 17:30:00,0.05,1.8999999999999995,,,
9,2013-04-30 21:30:00,0.01,1.1799999999999997,,,
10,2013-04-30 22:30:00,1.15,1.2399999999999998,1.15,,
11,2013-04-30 23:30:00,0.08,1.5499999999999998,,,
12,2013-06-05 07:30:00,0.62,1.4700000000000004,0.62,,
13,2013-06-05 08:30:00,0.67,2.1700000000000004,0.67,,
14,2013-06-05 09:30:00,0.88,1.6400000000000001,0.88,,
15,2013-06-05 10:30:00,0.09,1.23,,,
16,2013-06-05 12:30:00,0.59,2.03,0.59,,
17,2013-06-05 13:30:00,1.18,2.01,1.18,,
18,2013-06-05 14:30:00,0.24,1.7799999999999998,,,
19,2013-05-24 18:24:00,,,,0.685551366036197,
20,2013-05-28 08:54:00,,,,0.2164450143951447,
21,2013-05-25 02:54:00,,,,0.14946156434628288,
