,date,rain,Rol_sum_3hr,high_rain_rate_hrly,NTU,baseline_pts
0,2015-05-04 02:49:00,0.0,1.4000000000000004,,,
1,2015-05-04 03:49:00,1.34,1.5300000000000002,1.34,,
2,2015-05-04 04:49:00,0.19,1.5900000000000003,,,
3,2015-05-06 13:49:00,0.68,1.0400000000000003,0.68,,
4,2015-05-06 21:49:00,0.43,1.4000000000000001,,,
5,2015-05-06 22:49:00,0.97,2.18,0.97,,
6,2015-05-06 23:49:00,0.78,1.7500000000000002,0.78,,
7,2015-05-07 12:49:00,0.97,1.4800000000000002,0.97,,
8,2015-05-07 13:49:00,0.51,1.4900000000000002,0.51,,
9,2015-05-12 00:49:00,0.42,1.0200000000000002,,,
10,2015-05-17 01:49:00,0.18,1.0000000000000002,,,
11,2015-05-17 02:49:00,0.82,1.1900000000000002,0.82,,
12,2015-05-17 03:49:00,0.19,1.0400000000000003,,,
13,2015-05-21 22:49:00,0.34,1.0500000000000003,,,
14,2015-05-21 23:49:00,0.59,1.4500000000000002,0.59,,
15,2015-05-22 00:49:00,0.52,1.1300000000000001,0.52,,
16,2015-05-24 14:49:00,0.82,1.28,0.82,,
17,2015-05-24 15:49:00,0.46,1.31,,,
18,2015-06-12 18:49:00,0.3,1.0099999999999998,,,
19,2015-06-12 19:49:00,0.7,1.4199999999999997,0.7,,
20,2015-06-12 20:49:00,0.42,1.1299999999999997,,,
21,2015-06-13 03:49:00,0.8,1.0899999999999999,0.8,,
22,2015-06-13 04:49:00,0.29,1.3099999999999998,,,
23,2015-06-17 23:49:00,0.11,1.0399999999999998,,,
24,2015-06-18 00:49:00,0.84,1.9799999999999998,0.84,,
25,2015-06-18 01:49:00,1.03,2.6,1.03,,
26,2015-06-18 02:49:00,0.73,2.0,0.73,,
27,2015-06-18 03:49:00,0.24,1.01,,,
28,2015-06-24 17:49:00,0.83,1.5299999999999998,0.83,,
29,2015-06-24 18:49:00,0.67,1.7299999999999998,0.67,,
30,2015-06-24 19:49:00,0.23,1.0099999999999998,,,
31,2015-05-01 04:01:00,,,,0.606227008320459,
32,2015-05-19 19:57:00,,,,0.5110034360146595,
33,2015-05-07 10:34:00,,,,0.03654470552285783,
34,2015-05-04 13:39:00,,,,,0.06945234298202002
35,2015-05-19 16:59:00,,,,,0.06322210199358529
