,date,rain,Rol_sum_3hr,high_rain_rate_hrly,NTU,baseline_pts
a,4/23/2013 13:40,1.5,2.43,1.5,,
a,4/23/2013 13:50,,,,,0.05
a,4/23/2013 14:11,,,,0.062197141,
a,4/23/2013 16:00,,,,,0.05
