Date,Time,Rain (mm),Rate (mm/hr),Rain (in) 
8/29/2015,4:30 PM,0,0,0
8/29/2015,5:00 PM,0,0,0
8/29/2015,5:30 PM,0,0,0
8/29/2015,6:00 PM,0,0,0
8/29/2015,6:30 PM,0,0,0
8/29/2015,7:00 PM,0,0,0
8/29/2015,7:30 PM,0,0,0
8/29/2015,8:00 PM,0,0,0
8/29/2015,8:30 PM,0,0,0
8/29/2015,9:00 PM,0,0,0
8/29/2015,9:30 PM,0,0,0
8/29/2015,10:00 PM,0,0,0
8/29/2015,10:30 PM,0,0,0
8/29/2015,11:00 PM,0,0,0
8/29/2015,11:30 PM,0,0,0
8/30/2015,12:00 AM,0,0,0
8/30/2015,12:30 AM,0,0,0
8/30/2015,1:00 AM,0,0,0
8/30/2015,1:30 AM,0,0,0
8/30/2015,2:00 AM,0,0,0
8/30/2015,2:30 AM,0,0,0
8/30/2015,3:00 AM,0,0,0
8/30/2015,3:30 AM,0,0,0
8/30/2015,4:00 AM,0,0,0
8/30/2015,4:30 AM,0,0,0
8/30/2015,5:00 AM,0,0,0
8/30/2015,5:30 AM,0,0,0
8/30/2015,6:00 AM,0,0,0
8/30/2015,6:30 AM,0,0,0
8/30/2015,7:00 AM,0,0,0
8/30/2015,7:30 AM,0,0,0
8/30/2015,8:00 AM,0,0,0
8/30/2015,8:30 AM,0,0,0
8/30/2015,9:00 AM,0,0,0
8/30/2015,9:30 AM,0,0,0
8/30/2015,10:00 AM,0,0,0
8/30/2015,10:30 AM,0,0,0
8/30/2015,11:00 AM,0,0,0
8/30/2015,11:30 AM,0,0,0
8/30/2015,12:00 PM,0,0,0
8/30/2015,12:30 PM,0,0,0
8/30/2015,1:00 PM,0,0,0
8/30/2015,1:30 PM,0,0,0
8/30/2015,2:00 PM,0,0,0
8/30/2015,2:30 PM,0,0,0
8/30/2015,3:00 PM,0,0,0
8/30/2015,3:30 PM,0,0,0
8/30/2015,4:00 PM,0,0,0
8/30/2015,4:30 PM,0,0,0
8/30/2015,5:00 PM,0,0,0
8/30/2015,5:30 PM,0,0,0
8/30/2015,6:00 PM,0,0,0
8/30/2015,6:30 PM,0,0,0
8/30/2015,7:00 PM,0,0,0
8/30/2015,7:30 PM,0,0,0
8/30/2015,8:00 PM,0,0,0
8/30/2015,8:30 PM,0,0,0
8/30/2015,9:00 PM,0,0,0
8/30/2015,9:30 PM,0,0,0
8/30/2015,10:00 PM,0,0,0
8/30/2015,10:30 PM,0,0,0
8/30/2015,11:00 PM,0,0,0
8/30/2015,11:30 PM,0,0,0
8/31/2015,12:00 AM,0,0,0
8/31/2015,12:30 AM,0,0,0
8/31/2015,1:00 AM,0,0,0
8/31/2015,1:30 AM,0,0,0
8/31/2015,2:00 AM,0,0,0
8/31/2015,2:30 AM,0,0,0
8/31/2015,3:00 AM,0,0,0
8/31/2015,3:30 AM,0,0,0
8/31/2015,4:00 AM,0,0,0
8/31/2015,4:30 AM,0,0,0
8/31/2015,5:00 AM,0,0,0
8/31/2015,5:30 AM,0,0,0
8/31/2015,6:00 AM,0,0,0
8/31/2015,6:30 AM,0,0,0
8/31/2015,7:00 AM,0,0,0
8/31/2015,7:30 AM,0,0,0
8/31/2015,8:00 AM,0,0,0
8/31/2015,8:30 AM,0,0,0
8/31/2015,9:00 AM,0,0,0
8/31/2015,9:30 AM,0,0,0
8/31/2015,10:00 AM,0,0,0
8/31/2015,10:30 AM,0,0,0
8/31/2015,11:00 AM,0,0,0
8/31/2015,11:30 AM,0,0,0
8/31/2015,12:00 PM,0,0,0
8/31/2015,12:30 PM,0,0,0
8/31/2015,1:00 PM,0,0,0
8/31/2015,1:30 PM,0,0,0
8/31/2015,2:00 PM,0,0,0
8/31/2015,2:30 PM,0,0,0
8/31/2015,3:00 PM,0,0,0
8/31/2015,3:30 PM,0,0,0
8/31/2015,4:00 PM,0,0,0
8/31/2015,4:30 PM,0,0,0
8/31/2015,5:00 PM,0,0,0
8/31/2015,5:30 PM,0,0,0
8/31/2015,6:00 PM,0,0,0
8/31/2015,6:30 PM,0,0,0
8/31/2015,7:00 PM,0,0,0
8/31/2015,7:30 PM,0,0,0
8/31/2015,8:00 PM,0,0,0
8/31/2015,8:30 PM,0,0,0
8/31/2015,9:00 PM,0,0,0
8/31/2015,9:30 PM,0,0,0
8/31/2015,10:00 PM,0,0,0
8/31/2015,10:30 PM,0,0,0
8/31/2015,11:00 PM,0,0,0
8/31/2015,11:30 PM,0,0,0
9/1/2015,12:00 AM,0,0,0
9/1/2015,12:30 AM,0,0,0
9/1/2015,1:00 AM,0,0,0
9/1/2015,1:30 AM,0,0,0
9/1/2015,2:00 AM,0,0,0
9/1/2015,2:30 AM,0,0,0
9/1/2015,3:00 AM,0,0,0
9/1/2015,3:30 AM,0,0,0
9/1/2015,4:00 AM,0,0,0
9/1/2015,4:30 AM,0,0,0
9/1/2015,5:00 AM,0,0,0
9/1/2015,5:30 AM,0,0,0
9/1/2015,6:00 AM,0,0,0
9/1/2015,6:30 AM,0,0,0
9/1/2015,7:00 AM,0,0,0
9/1/2015,7:30 AM,0,0,0
9/1/2015,8:00 AM,0,0,0
9/1/2015,8:30 AM,0,0,0
9/1/2015,9:00 AM,0,0,0
9/1/2015,9:30 AM,0,0,0
9/1/2015,10:00 AM,0,0,0
9/1/2015,10:30 AM,0,0,0
9/1/2015,11:00 AM,0,0,0
9/1/2015,11:30 AM,0,0,0
9/1/2015,12:00 PM,0,0,0
9/1/2015,12:30 PM,0,0,0
9/1/2015,1:00 PM,0,0,0
9/1/2015,1:30 PM,0,0,0
9/1/2015,2:00 PM,0,0,0
9/1/2015,2:30 PM,0,0,0
9/1/2015,3:00 PM,0,0,0
9/1/2015,3:30 PM,0,0,0
9/1/2015,4:00 PM,0,0,0
9/1/2015,4:30 PM,0,0,0
9/1/2015,5:00 PM,0,0,0
9/1/2015,5:30 PM,0,0,0
9/1/2015,6:00 PM,0,0,0
9/1/2015,6:30 PM,0,0,0
9/1/2015,7:00 PM,0,0,0
9/1/2015,7:30 PM,0,0,0
9/1/2015,8:00 PM,0,0,0
9/1/2015,8:30 PM,0,0,0
9/1/2015,9:00 PM,0,0,0
9/1/2015,9:30 PM,0,0,0
9/1/2015,10:00 PM,0,0,0
9/1/2015,10:30 PM,0,0,0
9/1/2015,11:00 PM,0,0,0
9/1/2015,11:30 PM,0,0,0
9/2/2015,12:00 AM,0,0,0
9/2/2015,12:30 AM,0,0,0
9/2/2015,1:00 AM,0,0,0
9/2/2015,1:30 AM,0,0,0
9/2/2015,2:00 AM,0,0,0
9/2/2015,2:30 AM,0,0,0
9/2/2015,3:00 AM,0,0,0
9/2/2015,3:30 AM,0,0,0
9/2/2015,4:00 AM,0,0,0
9/2/2015,4:30 AM,0,0,0
9/2/2015,5:00 AM,0,0,0
9/2/2015,5:30 AM,0,0,0
9/2/2015,6:00 AM,0,0,0
9/2/2015,6:30 AM,0,0,0
9/2/2015,7:00 AM,0,0,0
9/2/2015,7:30 AM,0,0,0
9/2/2015,8:00 AM,0,0,0
9/2/2015,8:30 AM,0,0,0
9/2/2015,9:00 AM,0,0,0
9/2/2015,9:30 AM,0,0,0
9/2/2015,10:00 AM,0,0,0
9/2/2015,10:30 AM,0,0,0
9/2/2015,11:00 AM,0,0,0
9/2/2015,11:30 AM,0,0,0
9/2/2015,12:00 PM,0,0,0
9/2/2015,12:30 PM,0,0,0
9/2/2015,1:00 PM,0,0,0
9/2/2015,1:30 PM,0,0,0
9/2/2015,2:00 PM,0,0,0
9/2/2015,2:30 PM,0,0,0
9/2/2015,3:00 PM,0,0,0
9/2/2015,3:30 PM,0,0,0
9/2/2015,4:00 PM,0,0,0
9/2/2015,4:30 PM,0,0,0
9/2/2015,5:00 PM,0,0,0
9/2/2015,5:30 PM,0,0,0
9/2/2015,6:00 PM,0,0,0
9/2/2015,6:30 PM,0,0,0
9/2/2015,7:00 PM,0,0,0
9/2/2015,7:30 PM,0,0,0
9/2/2015,8:00 PM,0,0,0
9/2/2015,8:30 PM,0,0,0
9/2/2015,9:00 PM,0,0,0
9/2/2015,9:30 PM,0,0,0
9/2/2015,10:00 PM,0,0,0
9/2/2015,10:30 PM,0,0,0
9/2/2015,11:00 PM,0,0,0
9/2/2015,11:30 PM,0,0,0
9/3/2015,12:00 AM,0,0,0
9/3/2015,12:30 AM,0,0,0
9/3/2015,1:00 AM,0,0,0
9/3/2015,1:30 AM,0,0,0
9/3/2015,2:00 AM,0,0,0
9/3/2015,2:30 AM,0,0,0
9/3/2015,3:00 AM,0,0,0
9/3/2015,3:30 AM,0,0,0
9/3/2015,4:00 AM,0,0,0
9/3/2015,4:30 AM,0,0,0
9/3/2015,5:00 AM,0,0,0
9/3/2015,5:30 AM,0,0,0
9/3/2015,6:00 AM,0,0,0
9/3/2015,6:30 AM,0,0,0
9/3/2015,7:00 AM,0,0,0
9/3/2015,7:30 AM,0,0,0
9/3/2015,8:00 AM,0,0,0
9/3/2015,8:30 AM,0,0,0
9/3/2015,9:00 AM,0,0,0
9/3/2015,9:30 AM,0,0,0
9/3/2015,10:00 AM,0,0,0
9/3/2015,10:30 AM,0,0,0
9/3/2015,11:00 AM,0,0,0
9/3/2015,11:30 AM,0,0,0
9/3/2015,12:00 PM,0,0,0
9/3/2015,12:30 PM,0,0,0
9/3/2015,1:00 PM,0,0,0
9/3/2015,1:30 PM,0,0,0
9/3/2015,2:00 PM,0,0,0
9/3/2015,2:30 PM,0,0,0
9/3/2015,3:00 PM,0,0,0
9/3/2015,3:30 PM,0,0,0
9/3/2015,4:00 PM,0,0,0
9/3/2015,4:30 PM,0,0,0
9/3/2015,5:00 PM,0,0,0
9/3/2015,5:30 PM,0,0,0
9/3/2015,6:00 PM,0,0,0
9/3/2015,6:30 PM,0,0,0
9/3/2015,7:00 PM,0,0,0
9/3/2015,7:30 PM,0,0,0
9/3/2015,8:00 PM,0,0,0
9/3/2015,8:30 PM,0,0,0
9/3/2015,9:00 PM,0,0,0
9/3/2015,9:30 PM,0,0,0
9/3/2015,10:00 PM,0,0,0
9/3/2015,10:30 PM,0,0,0
9/3/2015,11:00 PM,0,0,0
9/3/2015,11:30 PM,0,0,0
