Well,Date,TC MPN/100ml,E coli MPN/100 ml,ID,TC Lower_95,TC Upper_95,Ecoli Lower_95,Ecoli Upper_95
Taf-33-GUDI,4/19/2016,46.9,8.5,33,33.47,62.98,3.91,15.64
Ili-84-Non-GUDI,4/19/2016,1,0,84,0.05,5.49,0,0
Moa-93-Non-GUDI,4/19/2016,0,0,93,0,0,0,0
Mmi-89-GUDI,4/19/2016,46.2,11,89,31.14,65.5,5.69,20.08
Asu-128-Non-GUDI,4/19/2016,0,0,128,0,0,0,0
Faga-179-Non-GUDI,4/19/2016,4.1,0,179,1.65,9.52,0,0
Mmi-89-GUDI,5/20/2016,9.8,2,89,4.68,18.36,0.26,7.13
Faga-179-Non-GUDI,5/20/2016,0,0,179,0,0,0,0
Taf-33-GUDI,5/20/2016,24.2,3.1,33,15.82,35.69,0.69,8.94
Asu-128-Non-GUDI,5/20/2016,0,0,128,0,0,0,0
Moa-93-Non-GUDI,5/20/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,5/20/2016,0,0,84,0,0,0,0
Mmi-89-GUDI,6/21/2016,36.4,3,89,24.5,51.25,0.68,7.37
Faga-179-Non-GUDI,6/21/2016,0,0,179,0,0,0,0
Taf-33-GUDI,6/21/2016,11,1,33,5.69,20.08,0.05,5.49
Asu-128-Non-GUDI,6/21/2016,0,0,128,0,0,0,0
Moa-93-Non-GUDI,6/21/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,6/21/2016,0,0,84,0,0,0,0
Mmi-89-GUDI,7/12/2016,11,0,89,5.69,20.08,0,0
Faga-179-Non-GUDI,7/12/2016,0,0,179,0,0,0,0
Taf-33-GUDI,7/12/2016,41.4,0,33,27.86,58.56,0,0
Asu-128-Non-GUDI,7/12/2016,0,0,128,0,0,0,0
Moa-93-Non-GUDI,7/12/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,7/12/2016,0,0,84,0,0,0,0
Mmi-89-GUDI,8/24/2016,770.1,22.6,89,549,1094.03,13.87,34.47
Faga-179-Non-GUDI,8/24/2016,1,0,179,0.05,5.49,0,0
Taf-33-GUDI,8/24/2016,33.6,2,33,21.95,48.93,0.26,7.13
Asu-128-Non-GUDI,8/24/2016,1,0,128,0.05,5.49,0,0
Moa-93-Non-GUDI,8/24/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,8/24/2016,2,0,84,0.26,7.13,0,0
Mmi-89-GUDI,9/21/2016,2419.6,135.4,89,1630.4,4716.1,99.15,176.99
Faga-179-Non-GUDI,9/21/2016,0,0,179,0,0,0,0
Taf-33-GUDI,9/21/2016,72.9,6.3,33,54.78,94.64,2.9,13.71
Asu-128-Non-GUDI,9/21/2016,0,0,128,0,0,0,0
Moa-93-Non-GUDI,9/21/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,9/21/2016,1,0,84,0.05,5.49,0,0
Mmi-89-GUDI,10/20/2016,58.3,3.1,89,40.45,80.6,0.69,8.94
Faga-179-Non-GUDI,10/20/2016,0,0,179,0,0,0,0
Taf-33-GUDI,10/20/2016,25.3,0,33,16.06,37.67,0,0
Asu-128-Non-GUDI,10/20/2016,1,0,128,0.05,5.49,0,0
Moa-93-Non-GUDI,10/20/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,10/20/2016,1,0,84,0.05,5.49,0,0
Mmi-89-GUDI,11/22/2016,48,8.6,89,31.14,65.5,4.45,16.87
Taf-33-GUDI,11/22/2016,28.2,5.2,33,17.9,42.25,2.29,11.94
Moa-93-Non-GUDI,11/22/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,11/22/2016,1,0,84,0.05,5.49,0,0
Mmi-89-GUDI,12/20/2016,307.6,187.2,89,195.25,471.23,126.14,280.97
Taf-33-GUDI,12/20/2016,1413.2,93.3,33,924.92,2101.62,66.52,125.42
Moa-93-Non-GUDI,12/20/2016,0,0,93,0,0,0,0
Ili-84-Non-GUDI,12/20/2016,9.8,0,84,4.68,18.36,0,0
