,date,rain,Rol_sum_3hr,high_rain_rate_hrly,NTU,baseline_pts
a,5/22/2012 19:18,0.15,1.21,,,
a,5/23/2012 9:09,,,,,0.211931313
a,5/23/2012 15:06,,,,1.179475898,
a,5/24/2012 0:00,,,,,0.211943782
b,5/24/2012 22:18,,0.5,,,
b,5/25/2012 3:37,,,,,0.211493396
b,5/26/2012 8:54,,,,2.150006668,
b,5/31/2012 8:00,,,,,0.211943782
c,6/4/2012 12:11,,0.5,,,
c,6/5/2012 14:00,,,,,0.211943782
c,6/6/2012 20:05,,,,0.751337603,
c,6/9/2012 13:00,,,,,0.211943782
