Date,Sample Name,Well,Mean_dD,Mean_d18O
4/9/2016,Faga-Storm april 8-12th,179,-35.3039,-5.9084
4/12/2016,Faga-Storm april 8-12th,179,-35.3039,-5.9084
4/20/2016,Asu-R 4/19/16,1,-35.1553,-5.9674
4/20/2016,Ili-R 4/19/16,2,-34.0764,-5.7708
4/20/2016,Moa-R 4/19/16,3,-33.1776,-5.8241
