Name,Date,18O,2H,Month,Site,Type,Well_num,volume(ml),Amount(cm),Run_num,location
Ili-R  08/14/2014,8/14/2014,-1.99,1.16,8,Ili,R,,120,2.6,2,IliR
Ili-R  09/04/2014,9/4/2014,-1.08,7.66,9,Ili,R,,110,2.4,2,IliR
Mmi-89  01/12/2015,1/12/2015,-4.5,-19.57,1,Mmi,W,89,,,2,Mmi89
Mmi-89  10/07/2014,10/7/2014,-4.68,-20.66,10,Mmi,W,89,,,2,Mmi89
Mmi-89  11/10/2014,11/10/2014,-4.65,-18.08,11,Mmi,W,89,,,2,Mmi89
Mmi-89  12/15/2014,12/15/2014,-4.47,-20.37,12,Mmi,W,89,,,2,Mmi89
Mmi-89  02/09/2015,2/9/2015,-4.77,-19.91,2,Mmi,W,89,,,2,Mmi89
Mmi-89  09/04/2014,9/4/2014,-4.6,-18.86,9,Mmi,W,89,,,2,Mmi89
Moa-93  01/12/2015,1/12/2015,-4.52,-19.88,1,Moa,W,93,,,2,Moa93
Moa-93  10/07/2014,10/7/2014,-4.68,-19.98,10,Moa,W,93,,,2,Moa93
Moa-93  11/10/2014,11/10/2014,-4.72,-20.06,11,Moa,W,93,,,2,Moa93
Moa-93  12/15/2014,12/15/2014,-4.51,-18.81,12,Moa,W,93,,,2,Moa93
Moa-93  02/09/2015,2/9/2015,-4.37,-18.97,2,Moa,W,93,,,2,Moa93
Moa-93  08/14/2014,8/14/2014,-4.72,-20.7,8,Moa,W,93,,,2,Moa93
Moa-93  09/04/2014,9/4/2014,-4.51,-18.74,9,Moa,W,93,,,2,Moa93
Moa-R  01/12/2015,1/12/2015,-5.83,-30.66,1,Moa,R,,2760,60.8,2,MoaR
Moa-R  10/07/2014,10/7/2014,-2.01,2.03,10,Moa,R,,300,6.6,2,MoaR
Moa-R  11/10/2014,11/10/2014,-5.86,-31.01,11,Moa,R,,1340,29.5,2,MoaR
Moa-R  12/15/2014,12/15/2014,-5.42,-27.57,12,Moa,R,,1960,43.2,2,MoaR
Moa-R  02/09/2015,2/9/2015,-7.95,-47.65,2,Moa,R,,2200,48.5,2,MoaR
Moa-R  08/14/2014,8/14/2014,-1.73,1.69,8,Moa,R,,150,3.3,2,MoaR
Moa-R  09/04/2014,Pee!,,,#VALUE!,Moa,R,,550,12.1,2,MoaR
Taf-33  01/12/2015,1/12/2015,-4.45,-19.8,1,Taf,W,33,,,2,Taf33
Taf-33  10/07/2014,10/7/2014,-4.68,-22.09,10,Taf,W,33,,,2,Taf33
Taf-33  11/10/2014,11/10/2014,-4.61,-18.81,11,Taf,W,33,,,2,Taf33
Taf-33  12/15/2014,12/15/2014,-4.39,-18.18,12,Taf,W,33,,,2,Taf33
Taf-33  02/09/2015,2/9/2015,-5.05,-22.64,2,Taf,W,33,,,2,Taf33
Taf-33  09/04/2014,9/4/2014,-4.4,-17.41,9,Taf,W,33,,,2,Taf33
Asu-128 03/18/2015,3/18/2015,-3.95,-19.05,3,Asu,W,128,,,3,Asu128
Asu-128 04/15/2015,4/15/2015,-3.91,-18.49,4,Asu,W,128,,,3,Asu128
Asu-128 05/18/2015,5/18/2015,-3.91,-18.37,5,Asu,W,128,,,3,Asu128
Asu-128 06/18/2015,6/18/2015,-3.82,-17.81,6,Asu,W,128,,,3,Asu128
Asu-128 07/18/2015,7/18/2015,-3.84,-17.97,7,Asu,W,128,,,3,Asu128
Asu-R 03/18/2015,3/18/2015,-4.96,-25.22,3,Asu,R,,1470,32.4,3,AsuR
Asu-R 04/15/2015,4/15/2015,-4.51,-22.55,4,Asu,R,,1030,22.7,3,AsuR
Asu-R 05/18/2015,5/18/2015,-3.11,-9.26,5,Asu,R,,2130,47,3,AsuR
Asu-R 06/18/2015,6/18/2015,-2.76,-7.43,6,Asu,R,,2460,54.2,3,AsuR
Asu-R 07/18/2015,7/18/2015,-2.22,-3.74,7,Asu,R,,2410,53.1,3,AsuR
Faga-179 03/18/2015,3/18/2015,-4.4,-21.05,3,Faga,W,179,,,3,Faga179
Faga-179 04/15/2015,4/15/2015,-4.34,-20.48,4,Faga,W,179,,,3,Faga179
Faga-179 05/18/2015,5/18/2015,-4.27,-20.42,5,Faga,W,179,,,3,Faga179
Faga-179 06/18/2015,6/18/2015,-4.24,-20.61,6,Faga,W,179,,,3,Faga179
Faga-R 03/18/2015,3/18/2015,-4.95,-25.54,3,Faga,R,,1570,34.6,3,FagaR
Faga-R 04/15/2015,4/15/2015,-4.63,-22.69,4,Faga,R,,1240,27.3,3,FagaR
Faga-R 05/15/2015,Lost,,,,,,,2325,51.3,3,R
Faga-R 06/18/2015,6/18/2015,-2.8,-8.62,6,Faga,R,,1770,39,3,FagaR
Faga-R 07/18/2015,7/18/2015,-1.67,0.13,7,Faga,R,,1050,23.1,3,FagaR
Faga-179 07/18/2015,7/18/2015,-4.23,-20.85,7,Faga,W,179,,,3,Faga179
Faga-179 07/22/2015,7/22/2015,-4.14,-20.17,7,Faga,W,179,,,3,Faga179
ILI-84 03/18/2015,3/18/2015,-4.03,-20.16,3,Ili,W,84,,,3,Ili84
ILI-84 04/15/2015,4/15/2015,-4.08,-20,4,Ili,W,84,,,3,Ili84
ILI-84 05/18/2015,5/18/2015,-4.09,-20,5,Ili,W,84,,,3,Ili84
ILI-84 06/18/2015,6/18/2015,-4.2,-19.93,6,Ili,W,84,,,3,Ili84
ILI-84 07/18/2015,7/18/2015,-4.12,-19.51,7,Ili,W,84,,,3,Ili84
ILI-R 03/18/2015,3/18/2015,-4.81,-25.5,3,Ili,R,,1320,29.1,3,IliR
ILI-R 04/15/2015,4/15/2015,-4.43,-22.1,4,Ili,R,,1160,25.6,3,IliR
ILI-R 05/18/2015,5/18/2015,-3.09,-9.15,5,Ili,R,,2375,52.4,3,IliR
ILI-R 06/18/2015,6/18/2015,-3.03,-9.98,6,Ili,R,,1200,26.5,3,IliR
ILI-R 07/18/2015,7/18/2015,-2.1,-3.36,7,Ili,R,,1040,22.9,3,IliR
ILI-84 07/25/2015,7/25/2015,-4.09,-19.75,7,Ili,W,84,,,3,Ili84
Mmi-89 03/18/2015,3/18/2015,-4,-18.46,3,Mmi,W,89,,,3,Mmi89
Mmi-89 05/18/2015,5/18/2015,-4.06,-18.81,5,Mmi,W,89,,,3,Mmi89
Mmi-89 06/18/2015,6/18/2015,-4.11,-18.31,6,Mmi,W,89,,,3,Mmi89
Mmi-89 07/18/2015,7/18/2015,-4.03,-18.02,7,Mmi,W,89,,,3,Mmi89
Mmi-89 04/15/2015,4/15/2015,-4.15,-19.07,4,Mmi,W,89,,,3,Mmi89
MMI-89 07/19/2015,7/19/2015,-3.99,-18.34,7,Mmi,W,89,,,3,Mmi89
MOA-93 03/18/2015,3/18/2015,-3.91,-18.73,3,Moa,W,93,,,3,Moa93
MOA-93 04/15/2015,4/15/2015,-4.04,-19.82,4,Moa,W,93,,,3,Moa93
MOA-93 05/18/2015,5/18/2015,-4.25,-21.94,5,Moa,W,93,,,3,Moa93
MOA-93 06/18/2015,6/18/2015,-4.21,-20.44,6,Moa,W,93,,,3,Moa93
MOA-93 07/18/2015,7/18/2015,-4.06,-20.14,7,Moa,W,93,,,3,Moa93
MOA-R 03/18/2015,3/18/2015,-4.51,-22.84,3,Moa,R,,2050,45.2,3,MoaR
MOA-R 04/15/2015,4/15/2015,-4.12,-20.26,4,Moa,R,,1690,37.3,3,MoaR
MOA-R 05/18/2015,5/18/2015,-3.1,-8.98,5,Moa,R,,2175,47.9,3,MoaR
MOA-R 06/18/2015,6/18/2015,-3.07,-9.97,6,Moa,R,,1470,32.4,3,MoaR
MOA-R 07/18/2015,7/18/2015,-2.03,-2.76,7,Moa,R,,1160,25.6,3,MoaR
MOA-93 07/21/2015,7/21/2015,-4.04,-19.37,7,Moa,W,93,,,3,Moa93
Taf-33 05/18/2015,5/18/2015,-4.31,-21.05,5,Taf,W,33,,,3,Taf33
Taf-33 07/18/2015,7/18/2015,-3.83,-16.69,7,Taf,W,33,,,3,Taf33
Taf-33 07/19/2015,7/19/2015,-3.74,-17.67,7,Taf,W,33,,,3,Taf33
Taf-33 03/18/2015,3/18/2015,-4.13,-20.13,3,Taf,W,33,,,3,Taf33
Taf-33 04/15/2015,4/15/2015,-4.37,-21.78,4,Taf,W,33,,,3,Taf33
Taf-33 06/18/2015,6/18/2015,-4.04,-18.67,6,Taf,W,33,,,3,Taf33
Moa-R 8/19/15,8/19/2015,-2.1309,-2.4991,8,Moa,R,,930,20.5,4,MoaR
Moa-R 9/19/15,9/19/2015,-0.75551,7.9811,9,Moa,R,,90,2,4,MoaR
Moa-R 10/20/15,10/20/2015,-2.4898,-8.3831,10,Moa,R,,1380,30.4,4,MoaR
Moa-R 11/18/15,11/18/2015,-3.0574,-12.5435,11,Moa,R,,590,13,4,MoaR
Moa-R 12/19/15,12/19/2015,-6.8755,-43.8346,12,Moa,R,,2590,57.1,4,MoaR
Moa-R 1/19/16,1/19/2016,-8.5212,-56.1136,1,Moa,R,,1930,42.5,4,MoaR
Moa-R 2/18/16,2/18/2016,-3.3418,-16.1619,2,Moa,R,,180,4,4,MoaR
Moa-R 3/17/16,3/17/2016,-7.5598,-47.9796,3,Moa,R,,1220,26.9,4,MoaR
Moa-R 4/19/16,4/19/2016,-5.8241,-33.1776,4,Moa,R,,2820,62.2,4,MoaR
Moa-93 8/19/15,8/19/2015,-3.9129,-18.4307,8,Moa,W,93,,,4,Moa93
Moa-93 9/19/15,9/19/2015,-4.1249,-19.3559,9,Moa,W,93,,,4,Moa93
Moa-93 10/20/15,10/20/2015,-3.9675,-18.6713,10,Moa,W,93,,,4,Moa93
Moa-93 11/18/15,11/18/2015,-4.0491,-18.6782,11,Moa,W,93,,,4,Moa93
Moa-93 12/19/15,12/19/2015,-4.024,-18.2864,12,Moa,W,93,,,4,Moa93
Moa-93 1/19/16,1/19/2016,-3.8273,-17.8178,1,Moa,W,93,,,4,Moa93
Moa-93 2/18/16,2/18/2016,-4.0292,-18.6395,2,Moa,W,93,,,4,Moa93
Moa-93 3/17/16,3/17/2016,-4.1166,-19.1433,3,Moa,W,93,,,4,Moa93
Moa-93 4/19/16,4/19/2016,,,4,Moa,W,93,,,4,Moa93
Ili-R 8/19/15,8/19/2015,-1.7125,1.9037,8,Ili,R,,680,15,4,IliR
Ili-R 9/19/15,9/19/2015,-3.9272,-18.071,9,Ili,R,,50,1.1,4,IliR
Ili-R 10/20/15,10/20/2015,-2.6514,-11.8384,10,Ili,R,,1260,27.8,4,IliR
Ili-R 11/18/15,11/18/2015,-3.0266,-13.8601,11,Ili,R,,570,12.6,4,IliR
Ili-R 12/19/15,12/19/2015,-6.7874,-43.5942,12,Ili,R,,2440,53.8,4,IliR
Ili-R 1/19/16,1/19/2016,-8.8023,-58.4754,1,Ili,R,,2390,52.7,4,IliR
Ili-R 2/18/16,2/18/2016,-3.7257,-19.7036,2,Ili,R,,110,2.4,4,IliR
Ili-R 3/17/16,3/17/2016,-6.8603,-43.7064,3,Ili,R,,1050,23.1,4,IliR
Ili-R 4/19/16,4/19/2016,-5.7708,-34.0764,4,Ili,R,,2640,58.2,4,IliR
Ili-84 8/19/15,8/19/2015,-4.1415,-20.5487,8,Ili,W,84,,,4,Ili84
Ili-84 9/25/15,9/25/2015,-4.0863,-20.2748,9,Ili,W,84,,,4,Ili84
Ili-84 10/20/15,10/20/2015,-4.1478,-20.426,10,Ili,W,84,,,4,Ili84
Ili-84 11/18/15,11/18/2015,-4.1728,-20.3061,11,Ili,W,84,,,4,Ili84
Ili-84 12/19/15,12/19/2015,-3.9007,-19.5801,12,Ili,W,84,,,4,Ili84
Ili-84 1/19/16,1/19/2016,-4.1135,-20.1407,1,Ili,W,84,,,4,Ili84
Ili-84 2/18/16,2/18/2016,-4.1018,-20.128,2,Ili,W,84,,,4,Ili84
Ili-84 3/17/16,3/17/2016,-4.145,-20.0404,3,Ili,W,84,,,4,Ili84
Ili-84 4/19/16,4/19/2016,-4.2339,-20.7142,4,Ili,W,84,,,4,Ili84
Faga-R 8/19/15,8/19/2015,-2.8608,-7.4791,8,Faga,R,,840,18.5,4,FagaR
Faga-R 9/19/15,9/19/2015,-1.1935,5.5419,9,Faga,R,,120,2.6,4,FagaR
Faga-R 10/20/15,10/20/2015,-1.2597,3.7924,10,Faga,R,,630,13.9,4,FagaR
Faga-R 11/18/15,11/18/2015,-2.6873,-9.6974,11,Faga,R,,960,21.2,4,FagaR
Faga-R- 12/19/15,12/19/2015,-6.1088,-38.3809,12,Faga,R,,2990,65.9,4,FagaR
Faga-R 1/19/16,1/19/2016,-6.0832,-36.2578,1,Faga,R,,5220,115.1,4,FagaR
Faga-R 2/18/16,2/18/2016,-3.9598,-21.4354,2,Faga,R,,320,7.1,4,FagaR
Faga-R 3/17/16,3/17/2016,-7.0104,-44.0633,3,Faga,R,,1360,30,4,FagaR
Faga-179 8/19/15,8/19/2015,-4.417,-20.9905,8,Faga,W,179,,,4,Faga179
Faga-179 9/19/15,9/19/2015,-4.1367,-20.308,9,Faga,W,179,,,4,Faga179
Faga-179 10/20/15,10/20/2015,-4.3479,-20.8399,10,Faga,W,179,,,4,Faga179
Faga-179 11/18/15,11/18/2015,-4.3334,-20.7472,11,Faga,W,179,,,4,Faga179
Faga-179 12/19/15,12/19/2015,-4.2845,-20.7747,12,Faga,W,179,,,4,Faga179
Faga-179 1/19/16,1/19/2016,-4.3397,-21.0175,1,Faga,W,179,,,4,Faga179
Faga-179 2/18/16,2/18/2016,-4.3646,-21.1524,2,Faga,W,179,,,4,Faga179
Faga-179 3/17/16,3/17/2016,-4.3344,-21.0424,3,Faga,W,179,,,4,Faga179
Faga-179 4/19/16,4/19/2016,-4.3785,-21.0927,4,Faga,W,179,,,4,Faga179
Asu-R 8/19/15,8/19/2015,-2.5208,-3.0988,8,Asu,R,,1630,35.9,4,AsuR
Asu-R 9/19/15,9/19/2015,-1.6449,3.8424,9,Asu,R,,410,9,4,AsuR
Asu-R 10/20/15,10/20/2015,-1.7285,1.182,10,Asu,R,,1290,28.4,4,AsuR
Asu-R 11/18/15,11/18/2015,-2.7904,-11.011,11,Asu,R,,900,19.8,4,AsuR
Asu-R 12/19/15,12/19/2015,-5.777,-35.5578,12,Asu,R,,2272,50.1,4,AsuR
Asu-R 1/19/16,1/19/2016,-8.6265,-56.6328,1,Asu,R,,2071,45.7,4,AsuR
Asu-R 2/18/16,2/18/2016,-4.5682,-25.0982,2,Asu,R,,190,4.2,4,AsuR
Asu-R 3/17/16,3/17/2016,-6.7385,-41.1812,3,Asu,R,,1900,41.9,4,AsuR
Asu-R 4/19/16,4/19/2016,-5.9674,-35.1553,4,Asu,R,,3170,69.9,4,AsuR
Asu-128 8/19/15,8/19/2015,-4.0147,-18.0642,8,Asu,W,128,,,4,Asu128
Asu-128 9/19/15,9/19/2015,-3.8342,-18.2039,9,Asu,W,128,,,4,Asu128
Asu-128 10/20/15,10/20/2015,-4.0093,-17.7901,10,Asu,W,128,,,4,Asu128
Asu-128 11/18/15,11/18/2015,-4.0962,-18.3008,11,Asu,W,128,,,4,Asu128
Asu-128 12/19/15,12/19/2015,-4.1607,-18.5389,12,Asu,W,128,,,4,Asu128
Asu-128 1/19/16,1/19/2016,-4.1315,-18.1861,1,Asu,W,128,,,4,Asu128
Asu-128 2/18/16,2/18/2016,-4.2502,-18.7984,2,Asu,W,128,,,4,Asu128
Asu-128 3/17/16,3/17/2016,-4.0161,-17.3506,3,Asu,W,128,,,4,Asu128
Asu-128 4/19/16,4/19/2016,-4.0644,-17.5347,4,Asu,W,128,,,4,Asu128
Taf-33 8/19/15,8/19/2015,-3.9513,-17.3166,8,Taf,W,33,,,4,Taf33
Taf-33 9/19/15,9/19/2015,-3.9566,-18.3562,9,Taf,W,33,,,4,Taf33
Taf-33 10/20/15,10/20/2015,-3.4666,-16.3225,10,Taf,W,33,,,4,Taf33
Taf-33 11/18/15,11/18/2015,-4.0386,-17.9532,11,Taf,W,33,,,4,Taf33
Taf-33 12/19/15,12/19/2015,-4.0176,-18.8437,12,Taf,W,33,,,4,Taf33
Taf-33 1/19/16,1/19/2016,-4.383,-21.0064,1,Taf,W,33,,,4,Taf33
Taf-33 2/18/16,2/18/2016,-4.2885,-19.829,2,Taf,W,33,,,4,Taf33
Taf-33 3/17/16,3/17/2016,-4.374,-21.1355,3,Taf,W,33,,,4,Taf33
Taf-33 4/19/16,4/19/2016,-4.7015,-24.3459,4,Taf,W,33,,,4,Taf33
Mmi-89 8/19/15,8/19/2015,-3.9673,-17.6593,8,Mmi,W,89,,,4,Mmi89
Mmi-89 9/19/15,9/19/2015,-4.0188,-18.0097,9,Mmi,W,89,,,4,Mmi89
Mmi-89 10/20/15,10/20/2015,-3.6727,-16.3494,10,Mmi,W,89,,,4,Mmi89
Mmi-89 11/18/15,11/18/2015,-3.7495,-16.0994,11,Mmi,W,89,,,4,Mmi89
Mmi-89 12/19/15,12/19/2015,-3.8341,-16.9317,12,Mmi,W,89,,,4,Mmi89
Mmi-89 1/19/16,1/19/2016,-3.8963,-17.5526,1,Mmi,W,89,,,4,Mmi89
Mmi-89 2/18/16,2/18/2016,-3.9228,-17.6855,2,Mmi,W,89,,,4,Mmi89
Mmi-89 3/17/16,3/17/2016,-4.1326,-18.998,3,Mmi,W,89,,,4,Mmi89
Mmi-89 4/19/16,4/19/2016,-4.2464,-19.9527,4,Mmi,W,89,,,4,Mmi89
Malae-89 5-19-16,5/19/2016,-4.2063,-20.9912,5,Mmi,W,89,,,5,Mmi89
Malae-89 6-20-16,6/20/2016,-4.0912,-19.6901,6,Mmi,W,89,,,5,Mmi89
Malae-89 7-11-16,7/11/2016,-4.3019,-19.8566,7,Mmi,W,89,,,5,Mmi89
Taf-33 5-19-16,5/19/2016,-4.812,-24.4865,5,Taf,W,33,,,5,Taf33
Taf-33 6-20-16,6/20/2016,-4.6127,-22.7816,6,Taf,W,33,,,5,Taf33
Taf-33 7-11-16,7/11/2016,-4.5067,-22.056,7,Taf,W,33,,,5,Taf33
Moa-93 5-19-16,5/19/2016,-4.3742,-21.7131,5,Moa,W,93,,,5,Moa93
Moa-93 6-20-16,6/20/2016,-4.3618,-21.7487,6,Moa,W,93,,,5,Moa93
Moa-93 7-11-16,7/11/2016,-4.309,-21.6379,7,Moa,W,93,,,5,Moa93
Moa-R  5-19-16,5/19/2016,-5.2331,-29.5698,5,Moa,R,,2320,51.1,5,MoaR
Moa-R  6-20-16,6/20/2016,-4.4708,-23.9932,6,Moa,R,,690,15.2,5,MoaR
Moa-R  7-11-16,7/11/2016,-2.1349,-7.1544,7,Moa,R,,160,3.5,5,MoaR
Ili-84 5-19-16,5/19/2016,-4.0744,-20.1666,5,Ili,W,84,,,5,Ili84
Ili-84 6-20-16,6/20/2016,-4.0586,-19.9618,6,Ili,W,84,,,5,Ili84
Ili-84 7-11-16,7/11/2016,-4.0453,-20.0648,7,Ili,W,84,,,5,Ili84
Ili-R 5-19-16,5/19/2016,-5.0039,-27.0682,5,Ili,R,,2190,48.3,5,IliR
Ili-R 6-20-16,6/20/2016,-4.8977,-27.0216,6,Ili,R,,590,13,5,IliR
Ili-R 7-11-16,7/11/2016,-2.0508,-6.8961,7,Ili,R,,110,2.4,5,IliR
Asu-128 5-19-16,5/19/2016,-4.0111,-17.4303,5,Asu,W,128,,,5,Asu128
Asu-128 6-20-16,6/20/2016,-4.105,-17.8775,6,Asu,W,128,,,5,Asu128
Asu-128 7-11-16,7/11/2016,-4.0767,-17.9801,7,Asu,W,128,,,5,Asu128
Asu-R 5-19-16,5/19/2016,-5.0749,-25.2552,5,Asu,R,,2820,62.2,5,AsuR
Asu-R 6-20-16,6/20/2016,-4.3179,-20.7405,6,Asu,R,,810,17.9,5,AsuR
Asu-R 7-11-16,7/11/2016,-2.3883,-5.92,7,Asu,R,,160,3.5,5,AsuR
Faga-179 5-19-16,5/19/2016,-4.3724,-20.7664,5,Faga,W,179,,,5,Faga179
Faga-179 6-20-16,6/20/2016,-4.3527,-20.7439,6,Faga,W,179,,,5,Faga179
Faga-179 7-11-16,7/11/2016,-4.3442,-20.7317,7,Faga,W,179,,,5,Faga179
Faga-R 5-19-16,5/19/2016,-5.2589,-29.2811,5,Faga,R,,2410,53.1,5,FagaR
Faga-R 6-20-16,6/20/2016,-4.2,-22.1488,6,Faga,R,,740,16.3,5,FagaR
Faga-R 7-11-16,7/11/2016,-1.6115,-3.6795,7,Faga,R,,130,2.9,5,FagaR
Ili-84-R-4-24-17,4/24/2017,-4.1064,-24.0613,4,Ili,R,,450,9.9,6,IliR
Ili-84-R-3-22-17,3/22/2017,-3.2438,-12.9251,3,Ili,R,,510,11.2,6,IliR
Ili-84-R-2-27-17,2/27/2017,-4.2421,-21.149,2,Ili,R,,1980,43.6,6,IliR
Ili-84-R-1-23-17,1/23/2017,-4.9279,-26.1574,1,Ili,R,,1520,33.5,6,IliR
Ili-84-R-12-20-16,12/20/2016,-3.8979,-18.877,12,Ili,R,,860,19,6,IliR
Ili-84-R-11-22-16,11/22/2016,-3.8856,-17.7203,11,Ili,R,,1910,42.1,6,IliR
Ili-84-R-10-20-16,10/20/2016,-1.5281,0.22572,10,Ili,R,,430,9.5,6,IliR
Ili-84-R-9-20-16,9/20/2016,-2.2469,-5.471,9,Ili,R,,600,13.2,6,IliR
Ili-84-R-8-24-16,8/24/2016,-4.0518,-20.4044,8,Ili,R,,990,21.8,6,IliR
Mala-93-R-4-24-17,4/24/2017,-4.6618,-27.7257,4,Moa,R,,580,12.8,6,MoaR
Mala-93-R-3-22-17,3/22/2017,-2.7202,-9.1676,3,Moa,R,,750,16.5,6,MoaR
Mala-93-R-2-27-17,2/27/2017,-4.856,-26.6114,2,Moa,R,,2250,49.6,6,MoaR
Mala-93-R-1-23-17,1/23/2017,-5.2443,-28.2441,1,Moa,R,,1640,36.2,6,MoaR
Mala-93-R-12-20-16,12/20/2016,-3.8545,-17.5596,12,Moa,R,,1030,22.7,6,MoaR
Mala-93-R-11-22-16,11/22/2016,-3.697,-15.1324,11,Moa,R,,1890,41.7,6,MoaR
Mala-93-R-10-20-16,10/20/2016,-1.6908,0.63526,10,Moa,R,,580,12.8,6,MoaR
Mala-93-R-9-20-16,9/20/2016,-4.2453,-21.9847,9,Moa,R,,1170,25.8,6,MoaR
Mala-93-R-8-24-16,8/24/2016,-5.1489,-29.213,8,Moa,R,,1610,35.5,6,MoaR
Taf-60-4-24-17,4/24/2017,-4.2578,-20.7278,4,Taf,W,60,,,6,Taf60
Taf-60-3-22-17,3/22/2017,-4.2067,-21.0508,3,Taf,W,60,,,6,Taf60
Taf-60-2-27-17,2/27/2017,-4.4029,-21.9209,2,Taf,W,60,,,6,Taf60
Taf-60-1-23-17,1/23/2017,-4.3791,-21.2432,1,Taf,W,60,,,6,Taf60
Taf-61-12-20-16,12/20/2016,-4.414,-21.2627,12,Taf,W,61,,,6,Taf61
Taf-33-4-24-17,4/24/2017,-4.3189,-21.24,4,Taf,W,33,,,6,Taf33
Taf-33-3-22-17,3/22/2017,-4.4243,-21.7347,3,Taf,W,33,,,6,Taf33
Taf-33-2-27-17,2/27/2017,-4.5763,-22.8493,2,Taf,W,33,,,6,Taf33
Taf-33-1-23-17,1/23/2017,-4.5405,-21.8398,1,Taf,W,33,,,6,Taf33
Taf-33-12-20-16,12/20/2016,-4.3949,-21.753,12,Taf,W,33,,,6,Taf33
Taf-33-11-22-16,11/22/2016,-4.4487,-22.5693,11,Taf,W,33,,,6,Taf33
Taf-33-10-20-16,10/20/2016,-4.2272,-21.2155,10,Taf,W,33,,,6,Taf33
Taf-33-9-20-16,9/20/2016,-3.8539,-20.4684,9,Taf,W,33,,,6,Taf33
Taf-33-8-24-16,8/24/2016,-4.229,-21.6231,8,Taf,W,33,,,6,Taf33
Taf-81-4-24-17,4/24/2017,-4.2781,-21.3012,4,Taf,W,81,,,6,Taf81
