Name,Date,18O,2H,Month,Site,Type,Well_num,volume(ml),Amount(cm),Run_num,location
Asu-128  01/12/2015,1/12/2015,-4.77,-20.37,1,Asu,W,128,,,2,Asu128
Asu-128  10/07/2014,10/7/2014,-4.84,-20.05,10,Asu,W,128,,,2,Asu128
Asu-128  11/10/2014,11/10/2014,-4.78,-19.41,11,Asu,W,128,,,2,Asu128
Asu-128  12/15/2014,12/15/2014,-4.6,-17.8,12,Asu,W,128,,,2,Asu128
Asu-128  02/09/2015,2/9/2015,-4.68,-18.66,2,Asu,W,128,,,2,Asu128
Asu-128  08/14/2014,8/14/2014,-4.85,-21.82,8,Asu,W,128,,,2,Asu128
Asu-128  09/04/2014,9/4/2014,-4.93,-20.31,9,Asu,W,128,,,2,Asu128
Asu-R  01/12/2015,1/12/2015,-5.94,-32.71,1,Asu,R,,2160,47.6,2,AsuR
Asu-R  10/07/2014,10/7/2014,-2.34,-0.07,10,Asu,R,,700,15.4,2,AsuR
Asu-R  11/10/2014,11/10/2014,-6.04,-29.97,11,Asu,R,,1240,27.3,2,AsuR
Asu-R  12/15/2014,12/15/2014,-5.3,-23.1,12,Asu,R,,1950,43,2,AsuR
Asu-R  02/09/2015,2/9/2015,-8.99,-53.82,2,Asu,R,,2120,46.7,2,AsuR
Asu-R  08/14/2014,8/14/2014,-2.98,-5.52,8,Asu,R,,220,4.8,2,AsuR
Asu-R  09/04/2014,9/4/2014,-2.48,3.19,9,Asu,R,,570,12.6,2,AsuR
Faga-179  01/12/2015,1/12/2015,-4.71,-22.66,1,Faga,W,179,,,2,Faga179
Faga-179  10/07/2014,10/7/2014,-4.85,-21.55,10,Faga,W,179,,,2,Faga179
Faga-179  11/10/2014,11/10/2014,-4.97,-23.37,11,Faga,W,179,,,2,Faga179
Faga-179  12/15/2014,12/15/2014,-5.16,-22.05,12,Faga,W,179,,,2,Faga179
Faga-179  02/09/2015,2/9/2015,-5.13,-23.69,2,Faga,W,179,,,2,Faga179
Faga-179  09/04/2014,9/4/2014,-5.04,-21.98,9,Faga,W,179,,,2,Faga179
Faga-R  01/12/2015,1/12/2015,-6.2,-34.3,1,Faga,R,,2260,49.8,2,FagaR
Faga-R  10/07/2014,10/7/2014,-2.2,1.39,10,Faga,R,,480,10.6,2,FagaR
Faga-R  11/10/2014,11/10/2014,-5.8,-29.2,11,Faga,R,,730,16.1,2,FagaR
Faga-R  12/15/2014,12/15/2014,-5.68,-27.89,12,Faga,R,,1430,31.5,2,FagaR
Faga-R  02/09/2015,2/9/2015,-8.7,-52.6,2,Faga,R,,2320,51.1,2,FagaR
Faga-R  09/04/2014,9/4/2014,-2.12,2.12,9,Faga,R,,300,6.6,2,FagaR
Ili-84  01/12/2015,1/12/2015,-4.6,-22.01,1,Ili,W,84,,,2,Ili84
Ili-84  10/07/2014,10/7/2014,-4.87,-21.25,10,Ili,W,84,,,2,Ili84
Ili-84  11/10/2014,11/10/2014,-4.89,-21.29,11,Ili,W,84,,,2,Ili84
Ili-84  12/15/2014,12/15/2014,-4.95,-21.57,12,Ili,W,84,,,2,Ili84
Ili-84  02/09/2015,2/9/2015,-4.88,-22.52,2,Ili,W,84,,,2,Ili84
Ili-84  08/14/2014,8/14/2014,-4.97,-21.78,8,Ili,W,84,,,2,Ili84
Ili-84  09/04/2014,9/4/2014,-4.64,-20.86,9,Ili,W,84,,,2,Ili84
Ili-R  01/12/2015,1/12/2015,-5.94,-32.86,1,Ili,R,,2550,56.2,2,IliR
Ili-R  10/07/2014,10/7/2014,-2.06,2.12,10,Ili,R,,180,4,2,IliR
Ili-R  11/10/2014,11/10/2014,-6.13,-32.65,11,Ili,R,,1380,30.4,2,IliR
Ili-R  12/15/2014,12/15/2014,-5.41,-26.98,12,Ili,R,,1960,43.2,2,IliR
Ili-R  02/09/2015,2/9/2015,-7.83,-46.67,2,Ili,R,,2400,52.9,2,IliR
